Navajo,date,storage(MCM),inflow(m3/s),release(m3/s)
93,04-Apr-1990,1452.85623,16.112133654254567,14.27155599603568
94,05-Apr-1990,1452.31371,15.290952852895371,14.27155599603568
95,06-Apr-1990,1451.909286,16.933314455613765,14.27155599603568
96,07-Apr-1990,1451.909286,20.416253716551044,14.27155599603568
97,08-Apr-1990,1452.31371,25.59818773892114,14.27155599603568
98,09-Apr-1990,1452.85623,28.033413563641513,14.27155599603568
99,10-Apr-1990,1452.724299,23.106328755486338,14.27155599603568
100,11-Apr-1990,1452.724299,21.18080135919581,14.27155599603568
101,12-Apr-1990,1452.31371,21.237434517910238,14.27155599603568
102,13-Apr-1990,1452.451806,27.60866487328331,14.27155599603568
103,14-Apr-1990,1452.58497,23.984142715559962,14.27155599603568
104,15-Apr-1990,1452.724299,22.285147954127144,14.27155599603568
105,16-Apr-1990,1452.85623,21.1524847798386,14.27155599603568
106,17-Apr-1990,1454.346927,46.55245646325924,14.27155599603568
107,18-Apr-1990,1456.7895,51.706073906272124,14.27155599603568
108,19-Apr-1990,1459.233306,49.157581764122895,14.27155599603568
109,20-Apr-1990,1461.399687,46.43919014583039,14.27155599603568
110,21-Apr-1990,1463.704164,47.20373778847515,14.27155599603568
111,22-Apr-1990,1465.743546,44.1738637972533,14.27155599603568
112,23-Apr-1990,1468.181187,52.215772334701974,14.27155599603568
113,24-Apr-1990,1470.896253,54.05634999292086,14.27155599603568
114,25-Apr-1990,1473.340059,45.674642503185616,14.27155599603568
115,26-Apr-1990,1474.691427,38.51054792581056,14.27155599603568
116,27-Apr-1990,1476.32022,38.878663457454344,14.27155599603568
117,28-Apr-1990,1477.431153,38.62381424323942,14.27155599603568
118,29-Apr-1990,1478.911986,41.22893954410308,14.27155599603568
119,30-Apr-1990,1480.688739,44.68356222568314,14.27155599603568
120,01-May-1990,1483.795899,57.22780688092879,14.27155599603568
121,02-May-1990,1489.119993,77.24762848647885,14.27155599603568
122,03-May-1990,1492.371414,53.23516919156166,14.27155599603568
123,04-May-1990,1495.33308,49.92212940676767,14.27155599603568
124,05-May-1990,1498.14432,48.16650148662042,14.27155599603568
125,06-May-1990,1500.658407,44.76851196375478,14.27155599603568
126,07-May-1990,1503.764334,51.6494407475577,14.27155599603568
127,08-May-1990,1505.83824,53.150219453490024,14.27155599603568
128,09-May-1990,1509.03171,64.87328330737647,14.27155599603568
129,10-May-1990,1511.475516,54.05634999292086,14.27155599603568
