2,NDAMS,,,,,,,,,,
GRAND_ID,DamName,DamLon,DamLat,upreal,DamIX,DamIY,FldVol_mcm,ConVol_mcm,TotalVol_mcm,Qn,Qf
601,Navajo,-107.6094818,36.8014908,8331,290,213,196.2772652,1081.722735,1278,26.544582,477.8836365
421,Seminoe,-106.9063568,42.1548386,18330,293,192,188.6056843,1066.194365,1254.800049,16.42257,146.5449371
