grandid,damname,lon,lat,upreal,ix,iy,fldsto_mcm,consto_mcm,totalsto_mcm,fldsto/uparea,Qn,Qf
2276,Pao-Cachinche,-68.1287537,9.8745832,1130.0,449,322,91.09909658311744,78.90090341688256,170.0,0.0806186695425818,6.979731,457.35640869140616
5275,Yangmaowan,108.0512466,34.54124829999999,1069.0,1154,222,26.973728111970118,103.02627188802988,130.0,0.02523267363140329,0.84264016,214.1517333984375
3719,Ransaren,15.0204172,65.2245865,1004.0,781,101,41.51889815686451,372.4811018431356,414.0,0.04135348421998457,24.702868,112.94522094726562
2480,RiachodoSangue,-38.9537506,-5.69625,1001.0,562,382,37.80992107448746,30.390078925512533,68.2,0.0377721489255619,0.9915842,375.4376220703125
3773,Svihov,15.0895834,49.7270813,1166.0,783,162,67.16760612280811,198.83239387719192,266.0,0.057605151048720514,6.4247594,119.5528289794922
4767,Mhaswad,74.8754196,17.5912495,1218.0,1018,290,32.75999675398492,15.140003246015075,47.9,0.026896549059100917,4.174411,361.86002197265617
4153,Bospoort,27.3470821,-25.5637493,1079.0,832,462,3.0718857390517527,15.828114260948244,18.9,0.0028469747349877225,0.4727642,165.14902954101558
2709,NuestraSenoradelAgavanzal,-6.1454172,41.97874829999999,1340.0,694,194,5.026024340231121,30.873975659768877,35.9,0.0037507644330083,7.7978315,386.55922851562485
1333,PuebloViejo,-97.8520813,22.1929169,1122.0,329,269,35.049783147977,629.950216852023,665.0,0.031238665907287883,1.0355524,259.6907958984375
1791,Bridgewater,-81.84124759999997,35.7454185,1024.0,395,216,57.21236468912002,298.98763531087997,356.2,0.05587144989171877,13.8702755,463.290380859375
3355,SantaGiustina,11.0604172,46.349582700000006,1039.0,766,176,39.46858790610653,143.33141209389348,182.8,0.03798709134370215,24.909258,175.62403564453126
1978,RioGrande2,-75.449585,6.5079169000000014,1021.0,421,332,76.64752257035755,169.05247742964244,245.7,0.0750710309210162,38.50041,1118.3132080078124
1930,TohopekaligaLake,-81.3537521,28.1412506,1047.0,394,247,191.1981659763432,152.90183402365682,344.1,0.1826152492610728,2.8832178,55.912152099609365
6482,Sagamiko,139.19541930000003,35.6145821,1060.0,1278,218,23.359615392911692,39.84038460708831,63.2,0.022037373012180842,36.704327,1404.506103515625
3579,Siliana,9.3537502,36.1570816,1040.0,759,216,66.40544584735065,3.5945541526493514,70.0,0.06385139023783716,0.28279084,138.36000366210936
2429,Fumaca,-47.2562485,-24.012916600000004,1033.0,532,456,48.509885497542655,41.49011450245735,90.0,0.04696019893276153,23.929802,998.578125
3351,Vouglans,5.6662502,46.3987503,1075.0,742,174,95.15423848064032,509.84576151935966,605.0,0.08851557067966542,15.508506,94.47819213867187
1430,Kiamika2,-75.3954163,46.5120811,1118.0,420,174,91.08846056324379,286.6115394367562,377.7,0.08147447277571003,20.804354,82.23111877441406
4182,VaalBarrage,27.696250899999995,-26.7512493,1129.0,830,467,20.523787190704574,36.17621280929543,56.7,0.01817873090407845,0.52035123,214.4542236328125
5129,Natmouk,95.4795837,20.4120827,1092.0,1103,280,80.49697705006363,44.10302294993636,124.6,0.07371518044877623,16.621613,523.9372924804687
2813,Forata,-0.86625,39.345417,1055.0,720,202,28.398265879567408,9.10173412043259,37.5,0.026917787563571,0.2958333,49.652760314941396
625,LakePiru,-118.7537537,34.462081899999994,1077.0,243,221,27.653788152831613,80.84621184716839,108.5,0.025676683521663524,1.1051661,243.5858825683593
5514,Dongjin,114.3262482,28.98291780000001,1064.0,1178,242,199.5429848778416,600.4570151221584,800.0,0.1875403993212797,25.970732,581.5493408203125
609,SuccessLake,-118.9212494,36.0620842,1020.0,244,214,76.02046258048583,25.47953741951417,101.5,0.0745298652749861,3.5997220000000003,174.63989868164063
6006,Asahikawako,133.8545837,34.914581299999995,1135.0,1256,220,30.123226174494327,27.27677382550567,57.4,0.0265402873784091,26.975115,1437.1001953125
4366,Istrinskoye,36.8295822,55.99541850000001,1006.0,868,136,35.12999405364732,147.8700059463527,183.0,0.03492047122628958,7.9031363,50.718177795410156
2938,SidiAbdelli,-1.1370831,35.095417,1135.0,717,222,54.92319106453522,55.07680893546478,110.0,0.048390476708841605,0.07062591,22.786859893798827
5239,Sikousi,105.97541809999998,36.2704163,1030.0,1144,216,10.316764595711463,45.18323540428854,55.5,0.010016276306515984,3.216967,515.9477416992187
4920,WadgaonLake,79.0412521,20.8245831,1090.0,1035,275,69.71759288906186,80.28240711093814,150.0,0.06396109439363475,15.443866,1386.884765625
3602,Kouna,0.030417000000000007,14.8445826,1043.0,719,302,0.919161538283088,0.080838461716912,1.0,0.0008812670549214651,0.08022065,6.676079750061035
124,McCloud,-122.074585,41.1329155,1047.0,233,194,5.968942097466631,37.53105790253337,43.5,0.005700995317542151,14.995169,243.223828125
1315,ColetoCreekDam,-97.1704178,28.7370834,1079.0,333,245,117.76678042121873,90.73321957878127,208.5,0.10914437481113876,3.0772293,425.36982421875
2158,HopkintonFloodControlDam,-71.74708559999998,43.18875120000001,1071.0,433,188,116.25852349664787,77.44147650335212,193.7,0.10855137581386357,15.230962,70.13109283447265
1793,Walters,-83.04875179999998,35.6945839,1004.0,389,218,7.524986561000075,13.475013438999925,21.0,0.007495006534860633,19.769127,467.694873046875
2126,HeadGatesReservoir,-70.4579163,43.8329163,1139.0,438,185,70.84511692195275,402.75488307804727,473.6,0.06219940028266265,19.44367,108.52261962890623
5684,Shanmei,118.41291809999998,25.1662502,1010.0,1194,259,240.05164952842352,415.94835047157653,656.0,0.2376749005231916,21.156672,764.7027099609375
