2,NDAMS
GRAND_ID,DAM_NAME,LONG_DD,LAT_DD,CAP_MCM,CATCH_SKM
601,Navajo,-107.609481,36.801492,1278,8331
421,Seminoe,-106.906358,42.154838,1254.8,18330
