2,NDAM,,,,,,,,,,,
GRAND_ID,DamName,DamLon,DamLat,upreal,DamIX,DamIY,FldVol_mcm,ConVol_mcm,TotalVol_mcm,fldsto/uparea,Qn,Qf
6521,Sakumako,137.7945862,35.0995827,3793,1272,219,97.36802383,229.4319762,326.8,0.025670452,151.25227,2950.560645
6493,Maruyamasosuiko,137.1737518,35.4695816,2418,1265,219,43.9133657,35.5866343,79.5,0.018161028,59.55734,189.6753479
