3529,NDAMS
GRAND_ID,DamName,DamLon,DamLat,area_CaMa,DamIX,DamIY,FldVol_mcm,ConVol_mcm,TotalVol_mcm,Qn,Qf
95,Siltcoos_Lake,-124.108,43.892,282.5,224,185,1.1346002670173403,17.46539973298266,18.6,2.222208,69.1598129272461
98,Crane_Prairie,-121.792,43.758,671.5,233,185,9.141155281932896,59.05884471806711,68.2,1.7078083,70.63510131835938
99,Cottage_Grove,-123.058,43.708,395.0,228,186,24.870000000000005,36.83,61.7,5.415746,100.11693572998047
100,Hills_Creek,-122.425,43.708,1658.6,231,186,118.95000000000005,320.15,439.1,28.113525,325.367431640625
101,Wickiup_Reservoir,-121.692,43.675,1278.7,234,186,39.06696944608868,227.93303055391132,267.0,4.2465935,132.6995391845703
103,Lemolo_1,-122.192,43.325,540.2,232,187,2.1099999999999994,12.39,14.5,9.140943,108.49714660644531
107,William_L._Jess,-122.675,42.675,1777.3,231,189,144.91000000000005,471.78999999999996,616.7,14.357393,540.5032958984375
110,Link_River_Diversion,-121.808,42.242,9672.7,233,191,50.57110918915896,595.428890810841,646.0,29.156628,236.3804931640625
112,Gerber,-121.125,42.208,623.2,237,192,22.930501037501102,93.3694989624989,116.3,1.2997192,104.71578979492188
115,Drews_Reservoir,-120.625,42.125,597.4,238,192,18.086628407230585,62.11337159276942,80.2,1.0688841,23.80408477783203
117,Copco_1,-122.325,41.975,13347.1,232,192,2.770000000000003,55.23,58.0,44.845985,528.1945190429688
118,Iron_Gate,-122.425,41.942,14613.9,231,193,8.469999999999999,63.03,71.5,54.16925,840.3448486328125
119,Clear_Lake_Dike,-121.075,41.908,1316.9,237,193,298.89473776499926,438.10526223500074,737.0,3.6095722,131.39501953125
120,Big_Sage,-120.625,41.575,436.6,238,194,42.506793260889495,52.493206739110505,95.0,1.256049,82.87902069091797
124,McCloud,-122.075,41.125,1498.3,232,196,9.340000000000003,34.16,43.5,9.016808,296.4601745605469
127,Pit_3,-121.675,41.025,15286.1,233,196,13.960000000000004,28.74,42.7,51.03278,1112.6600341796875
129,Pit_7,-121.992,40.842,15760.9,233,197,18.67,23.43,42.1,55.432957,915.1529541015625
131,Trinity,-122.758,40.808,1972.0,229,197,408.08760065856495,2225.412399341435,2633.5,21.09433,458.2920837402344
132,Shasta,-122.425,40.725,19226.1,231,197,1195.6287615527913,3695.0712384472085,4890.7,85.7699,1495.7734375
133,Whiskeytown,-122.542,40.592,613.6,230,198,54.97999999999999,208.42,263.4,8.052631,185.57077026367188
136,Indian_Ole,-121.025,40.275,606.6,236,199,1.360000000000003,29.24,30.6,2.5410285,120.54243469238281
138,Lake_Almanor,-121.092,40.175,1308.4,235,199,103.845292598814,1509.554707401186,1613.4,7.558093,195.86021423339844
144,Black_Butte_Dam,-122.342,39.808,2083.9,231,201,43.05256471576064,134.24743528423937,177.3,0.11012843,20.119773864746094
146,Stony_Gorge,-122.525,39.592,779.1,230,203,9.420000000000002,52.68,62.1,0.033020623,18.491727828979492
148,Oroville,-121.475,39.542,9399.0,235,202,1152.247945285646,3214.252054714354,4366.5,78.00511,1465.9605712890625
156,Scott,-122.958,39.408,800.7,229,203,18.85184852892027,71.14815147107973,90.0,0.859076,17.008296966552734
158,New_Bullards_Bar,-121.142,39.392,1267.8,236,202,418.91,777.0899999999999,1196.0,13.781455,498.244873046875
162,Lake_Spaulding,-120.642,39.325,382.5,238,203,30.22000000000001,61.97999999999999,92.2,3.8759463,137.29864501953125
164,Virginia_Ranch,-121.308,39.325,279.9,235,203,13.699999999999996,56.6,70.3,3.6601853,119.72848510742188
168,Harry_L._Englebright_Dam,-121.275,39.242,2827.1,236,203,16.209999999999994,70.09,86.3,30.589733,1088.742919921875
170,Lake_Tahoe,-120.125,39.158,1553.2,240,204,8.749304819687381,894.1506951803126,902.9,10.767992,82.79611206054688
173,Indian_Valley,-122.542,39.075,535.8,230,204,70.88314792144229,371.9168520785577,442.8,0.022863386,12.896480560302734
174,Lower_Hell_Hole,-120.408,39.058,553.5,239,204,90.43000000000004,166.67,257.1,4.7445655,112.87265014648438
175,Camp_Far_West,-121.308,39.058,725.5,236,204,36.93000000000001,91.97,128.9,8.325466,298.93798828125
180,Warm_Springs_Dam,-123.008,38.725,471.9,228,206,232.03,321.77,553.8,0.0090594655,0.16524586081504822
182,Folsom,-121.158,38.708,4946.1,236,206,356.67397027863046,746.0260297213696,1102.7,36.684704,593.6524047851562
185,Monticello,-122.108,38.508,1651.1,232,206,151.9599999999998,1811.64,1963.6,0.11481425,2.408918857574463
186,Salt_Springs,-120.208,38.508,681.5,239,206,102.94,72.06,175.0,4.3180637,131.78677368164062
191,Camanche,-121.025,38.225,1531.3,238,207,107.36821273076026,407.13178726923974,514.5,10.082678,303.2556457519531
192,Beardsley,-120.075,38.208,916.0,240,207,54.66,65.94,120.6,5.273644,50.56869125366211
193,New_Hogan_Dam,-120.808,38.158,804.8,238,208,157.28921539692868,233.81078460307134,391.1,5.444087,227.43540954589844
198,New_Melones,-120.525,37.942,2158.8,239,208,523.4117455242217,2461.5882544757783,2985.0,13.2569475,243.29721069335938
203,Farmington_Dam,-120.942,37.908,705.3,236,209,9.879999999999995,54.22,64.1,0.9000249,24.035615921020508
204,Tulloch,-120.608,37.875,2745.9,238,209,30.65000000000001,53.75,84.4,14.125383,156.45152282714844
206,Clifton_Court,-121.575,37.858,630.2,234,210,4.661124095186569,31.13887590481343,35.8,1e-10,13.634057998657227
